"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1652",161.054440690562,-0.13077886977069,0.159097466159378,-0.822004730356175,0.411074204687706,0.459960366651315
"1716",79.6705141006046,0.169545759637052,0.206579089296789,0.82073050188283,0.411799792716586,0.460599992451599
"1678",12.1406513009268,0.425068116913723,0.519064480551988,0.818911971132552,0.412836639395035,0.461587154360966
"277",46.9056213324481,-0.219994262082044,0.269271051206969,-0.81699930644587,0.413928824395251,0.462635428685316
"596",15.9195891228597,0.391740032759282,0.482070980956429,0.812618988145832,0.416436541447683,0.465264425695096
"1633",20.9090013562988,-0.326567129069428,0.402138996463407,-0.812075257414494,0.416748449632284,0.465439104628516
"2650",11.8235156934258,-0.442062065920471,0.54617798748424,-0.809373640187626,0.418300259713305,0.466997901888884
"1409",9460.53956536112,0.0541196859184993,0.0669890632556569,0.807888381898357,0.419154840061664,0.467777426879709
"1115",98.5658809202833,-0.153967708103117,0.19110729257562,-0.8056610819401,0.42043829538466,0.469034817222559
"3022",129.627513250912,0.133793283521765,0.168993544740116,0.791706474513668,0.428531846254987,0.477885681697697
"2579",0.782596313915188,-1.69623458340043,2.14699247843317,-0.790051479192097,0.429497704701295,0.478784326552264
"2413",1610.41746734469,0.0531633297069455,0.0675447766379615,0.787082767212331,0.431233416584368,0.480540179672413
"1987",2.94069718947899,-0.825733114031121,1.05201490170474,-0.784906290484154,0.432508513594206,0.481781635396078
"2688",7.61647832159259,0.527065980286909,0.673136801173017,0.782999799399522,0.433627229846553,0.482848035616259
"1117",14.7115232047961,-0.365075992539375,0.466678399913936,-0.782286029537047,0.434046495301048,0.483135087031524
"2878",2.10157263766774,-0.993272769400404,1.27789671839354,-0.777271554972815,0.436998573502448,0.486240138311388
"2208",65.5508569005086,0.182323757612259,0.235218353338512,0.775125558973153,0.438265470056033,0.487287360240673
"2806",0.714039149687867,1.72234634020274,2.22187215151147,0.775177968287278,0.43823450489159,0.487287360240673
"1642",2227.32704038774,0.0507054529811942,0.0659070631250021,0.769347784243156,0.441686877367982,0.490909040521917
"2152",78.5081713022759,0.169472310016033,0.221040836692312,0.766701359586045,0.443259095113177,0.492473528621844
"1827",2045.16299597781,-0.0511194616773233,0.0668037678506306,-0.765218240258895,0.444141599892255,0.49327084887811
"3084",43.5615905283393,-0.215303438907633,0.282200281364635,-0.762945514676635,0.44549589053764,0.494591356025461
"599",23.3509028467993,-0.282064627965208,0.373601005542872,-0.754988942161294,0.45025561709522,0.499690210070066
"1067",12.1760192547951,-0.40708667094777,0.540374096443373,-0.753342311608066,0.451244239132756,0.500601692059772
"2595",69.8314370697797,-0.175269072344223,0.234450124047193,-0.747575088972625,0.454716495145708,0.504266772971074
